target-word,block,transparency,vot_step,video
BARK,training,5,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_BARK5.mp4
BARK,training,40,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_BARK40.mp4
BARK,training,60,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_BARK60.mp4
BARK,training,100,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_BARK100.mp4
PARK,training,5,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_PARK5.mp4
PARK,training,40,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_PARK40.mp4
PARK,training,60,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_PARK60.mp4
PARK,training,100,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_PARK100.mp4
DART,training,5,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_DART5.mp4
DART,training,40,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_DART40.mp4
DART,training,60,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_DART60.mp4
DART,training,100,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_DART100.mp4
TART,training,5,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_TART5.mp4
TART,training,40,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_TART40.mp4
TART,training,60,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_TART60.mp4
TART,training,100,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_TART100.mp4
GUARD,training,5,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_GUARD5.mp4
GUARD,training,40,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_GUARD40.mp4
GUARD,training,60,original,https://kelinguistics.github.io/dissertation-aem/training-videos-w-audio/0119_4sec_processed_GUARD60.mp4
