group,label,guise,word,vot_step,index,video,question,answer_choices
A,1V,Chinese,NA,NA,,https://kelinguistics.github.io/dissertation-aem/social-guises/trimmed_CN_guise.mp4,What does this speaker study?,"philosophy, economics, linguistics, physics"
A,1,Chinese,BARK-PARK,1,1,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_1-w-audio.mp4,,
A,1,Chinese,BARK-PARK,2,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_2-w-audio.mp4,,
A,1,Chinese,BARK-PARK,3,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_3-w-audio.mp4,,
A,1,Chinese,BARK-PARK,4,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_4-w-audio.mp4,,
A,1,Chinese,BARK-PARK,5,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_5-w-audio.mp4,,
A,1,Chinese,BARK-PARK,6,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_6-w-audio.mp4,,
A,1,Chinese,BARK-PARK,7,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_7-w-audio.mp4,,
A,1,Chinese,BARK-PARK,8,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_8-w-audio.mp4,,
A,1,Chinese,BARK-PARK,9,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_9-w-audio.mp4,,
A,2,Chinese,DART-TART,1,1,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_1-w-audio.mp4,,
A,2,Chinese,DART-TART,2,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_2-w-audio.mp4,,
A,2,Chinese,DART-TART,3,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_3-w-audio.mp4,,
A,2,Chinese,DART-TART,4,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_4-w-audio.mp4,,
A,2,Chinese,DART-TART,5,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_5-w-audio.mp4,,
A,2,Chinese,DART-TART,6,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_6-w-audio.mp4,,
A,2,Chinese,DART-TART,7,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_7-w-audio.mp4,,
A,2,Chinese,DART-TART,8,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_8-w-audio.mp4,,
A,2,Chinese,DART-TART,9,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_9-w-audio.mp4,,
A,3,Chinese,GUARD-CARD,1,1,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_1-w-audio.mp4,,
A,3,Chinese,GUARD-CARD,2,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_2-w-audio.mp4,,
A,3,Chinese,GUARD-CARD,3,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_3-w-audio.mp4,,
A,3,Chinese,GUARD-CARD,4,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_4-w-audio.mp4,,
A,3,Chinese,GUARD-CARD,5,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_5-w-audio.mp4,,
A,3,Chinese,GUARD-CARD,6,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_6-w-audio.mp4,,
A,3,Chinese,GUARD-CARD,7,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_7-w-audio.mp4,,
A,3,Chinese,GUARD-CARD,8,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_8-w-audio.mp4,,
A,3,Chinese,GUARD-CARD,9,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_9-w-audio.mp4,,
A,4V,Russian,NA,NA,,https://kelinguistics.github.io/dissertation-aem/social-guises/trimmed_RU_guise.mp4,What is the speaker's name?,"Boris, Ilya, Ming Chen, Vlad"
A,4,Russian,DART-TART,1,1,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_1-w-audio.mp4,,
A,4,Russian,DART-TART,2,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_2-w-audio.mp4,,
A,4,Russian,DART-TART,3,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_3-w-audio.mp4,,
A,4,Russian,DART-TART,4,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_4-w-audio.mp4,,
A,4,Russian,DART-TART,5,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_5-w-audio.mp4,,
A,4,Russian,DART-TART,6,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_6-w-audio.mp4,,
A,4,Russian,DART-TART,7,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_7-w-audio.mp4,,
A,4,Russian,DART-TART,8,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_8-w-audio.mp4,,
A,4,Russian,DART-TART,9,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_9-w-audio.mp4,,
A,5,Russian,GUARD-CARD,1,1,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_1-w-audio.mp4,,
A,5,Russian,GUARD-CARD,2,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_2-w-audio.mp4,,
A,5,Russian,GUARD-CARD,3,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_3-w-audio.mp4,,
A,5,Russian,GUARD-CARD,4,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_4-w-audio.mp4,,
A,5,Russian,GUARD-CARD,5,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_5-w-audio.mp4,,
A,5,Russian,GUARD-CARD,6,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_6-w-audio.mp4,,
A,5,Russian,GUARD-CARD,7,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_7-w-audio.mp4,,
A,5,Russian,GUARD-CARD,8,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_8-w-audio.mp4,,
A,5,Russian,GUARD-CARD,9,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_9-w-audio.mp4,,
A,6,Russian,BARK-PARK,1,1,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_1-w-audio.mp4,,
A,6,Russian,BARK-PARK,2,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_2-w-audio.mp4,,
A,6,Russian,BARK-PARK,3,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_3-w-audio.mp4,,
A,6,Russian,BARK-PARK,4,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_4-w-audio.mp4,,
A,6,Russian,BARK-PARK,5,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_5-w-audio.mp4,,
A,6,Russian,BARK-PARK,6,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_6-w-audio.mp4,,
A,6,Russian,BARK-PARK,7,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_7-w-audio.mp4,,
A,6,Russian,BARK-PARK,8,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_8-w-audio.mp4,,
A,6,Russian,BARK-PARK,9,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_9-w-audio.mp4,,
A,7V,American,NA,NA,,https://kelinguistics.github.io/dissertation-aem/social-guises/trimmed_AM_guise.mp4,Where is the speaker from?,"DC, Boston, Detroit, Maryland"
A,7,American,GUARD-CARD,1,1,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_1-w-audio.mp4,,
A,7,American,GUARD-CARD,2,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_2-w-audio.mp4,,
A,7,American,GUARD-CARD,3,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_3-w-audio.mp4,,
A,7,American,GUARD-CARD,4,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_4-w-audio.mp4,,
A,7,American,GUARD-CARD,5,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_5-w-audio.mp4,,
A,7,American,GUARD-CARD,6,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_6-w-audio.mp4,,
A,7,American,GUARD-CARD,7,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_7-w-audio.mp4,,
A,7,American,GUARD-CARD,8,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_8-w-audio.mp4,,
A,7,American,GUARD-CARD,9,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_9-w-audio.mp4,,
A,8,American,BARK-PARK,1,1,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_1-w-audio.mp4,,
A,8,American,BARK-PARK,2,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_2-w-audio.mp4,,
A,8,American,BARK-PARK,3,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_3-w-audio.mp4,,
A,8,American,BARK-PARK,4,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_4-w-audio.mp4,,
A,8,American,BARK-PARK,5,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_5-w-audio.mp4,,
A,8,American,BARK-PARK,6,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_6-w-audio.mp4,,
A,8,American,BARK-PARK,7,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_7-w-audio.mp4,,
A,8,American,BARK-PARK,8,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_8-w-audio.mp4,,
A,8,American,BARK-PARK,9,,https://kelinguistics.github.io/dissertation-aem/traveling_BP-w-audio/4sec_Travis_BARK-PARK_VOT_9-w-audio.mp4,,
A,8,American,DART-TART,1,1,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_1-w-audio.mp4,,
A,9,American,DART-TART,2,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_2-w-audio.mp4,,
A,9,American,DART-TART,3,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_3-w-audio.mp4,,
A,9,American,DART-TART,4,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_4-w-audio.mp4,,
A,9,American,DART-TART,5,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_5-w-audio.mp4,,
A,9,American,DART-TART,6,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_6-w-audio.mp4,,
A,9,American,DART-TART,7,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_7-w-audio.mp4,,
A,9,American,DART-TART,8,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_8-w-audio.mp4,,
A,9,American,DART-TART,9,,https://kelinguistics.github.io/dissertation-aem/traveling_DT-w-audio/4sec_Travis_DART-TART_VOT_9-w-audio.mp4,,
B,1v,Russian,NA,NA,,https://kelinguistics.github.io/dissertation-aem/social-guises/trimmed_RU_guise.mp4,What is the speaker's name?,"Boris, Ilya, Ming Chen, Vlad"
B,1,Russian,GUARD-CARD,1,1,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_1-w-audio.mp4,,
B,1,Russian,GUARD-CARD,2,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_2-w-audio.mp4,,
B,1,Russian,GUARD-CARD,3,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_3-w-audio.mp4,,
B,1,Russian,GUARD-CARD,4,,https://kelinguistics.github.io/dissertation-aem/traveling_GK-w-audio/4sec_Travis_GUARD-CARD_VOT_4-w-audio.mp4,,
