target-word,block,transparency,vot_step,video
BARK,training,5,original,Travis_BARK5-w-audio.mp4
BARK,training,20,original,Travis_BARK20-w-audio.mp4
BARK,training,40,original,Travis_BARK40-w-audio.mp4
BARK,training,60,original,Travis_BARK60-w-audio.mp4
BARK,training,80,original,Travis_BARK80-w-audio.mp4
BARK,training,100,original,Travis_BARK100-w-audio.mp4
PARK,training,5,original,Travis_PARK5-w-audio.mp4
PARK,training,20,original,Travis_PARK20-w-audio.mp4
PARK,training,40,original,Travis_PARK40-w-audio.mp4
PARK,training,60,original,Travis_PARK60-w-audio.mp4
PARK,training,80,original,Travis_PARK80-w-audio.mp4
PARK,training,100,original,Travis_PARK100-w-audio.mp4
DART,training,5,original,Travis_DART5-w-audio.mp4
DART,training,20,original,Travis_DART20-w-audio.mp4
DART,training,40,original,Travis_DART40-w-audio.mp4
DART,training,60,original,Travis_DART60-w-audio.mp4
DART,training,80,original,Travis_DART80-w-audio.mp4
DART,training,100,original,Travis_DART100-w-audio.mp4
TART,training,5,original,Travis_TART5-w-audio.mp4
TART,training,20,original,Travis_TART20-w-audio.mp4
TART,training,40,original,Travis_TART40-w-audio.mp4
TART,training,60,original,Travis_TART60-w-audio.mp4
TART,training,80,original,Travis_TART80-w-audio.mp4
TART,training,100,original,Travis_TART100-w-audio.mp4
GUARD,training,5,original,Travis_GUARD5-w-audio.mp4
GUARD,training,20,original,Travis_GUARD20-w-audio.mp4
GUARD,training,40,original,Travis_GUARD40-w-audio.mp4
GUARD,training,60,original,Travis_GUARD60-w-audio.mp4
GUARD,training,80,original,Travis_GUARD80-w-audio.mp4
GUARD,training,100,original,Travis_GUARD100-w-audio.mp4
CARD,training,5,original,Travis_CARD5-w-audio.mp4
CARD,training,20,original,Travis_CARD20-w-audio.mp4
CARD,training,40,original,Travis_CARD40-w-audio.mp4
CARD,training,60,original,Travis_CARD60-w-audio.mp4
CARD,training,80,original,Travis_CARD80-w-audio.mp4
CARD,training,100,original,Travis_CARD100-w-audio.mp4
BARK-PARK,baseline,na,1,Travis_BARK-PARK_VOT_1-w-audio.mp4
BARK-PARK,baseline,na,2,Travis_BARK-PARK_VOT_2-w-audio.mp4
BARK-PARK,baseline,na,3,Travis_BARK-PARK_VOT_3-w-audio.mp4
BARK-PARK,baseline,na,4,Travis_BARK-PARK_VOT_4-w-audio.mp4
BARK-PARK,baseline,na,5,Travis_BARK-PARK_VOT_5-w-audio.mp4
BARK-PARK,baseline,na,6,Travis_BARK-PARK_VOT_6-w-audio.mp4
BARK-PARK,baseline,na,7,Travis_BARK-PARK_VOT_7-w-audio.mp4
BARK-PARK,baseline,na,8,Travis_BARK-PARK_VOT_8-w-audio.mp4
BARK-PARK,baseline,na,9,Travis_BARK-PARK_VOT_9-w-audio.mp4
DART-TART,baseline,na,1,Travis_DART-TART_VOT_1-w-audio.mp4
DART-TART,baseline,na,2,Travis_DART-TART_VOT_2-w-audio.mp4
DART-TART,baseline,na,3,Travis_DART-TART_VOT_3-w-audio.mp4
DART-TART,baseline,na,4,Travis_DART-TART_VOT_4-w-audio.mp4
DART-TART,baseline,na,5,Travis_DART-TART_VOT_5-w-audio.mp4
DART-TART,baseline,na,6,Travis_DART-TART_VOT_6-w-audio.mp4
DART-TART,baseline,na,7,Travis_DART-TART_VOT_7-w-audio.mp4
DART-TART,baseline,na,8,Travis_DART-TART_VOT_8-w-audio.mp4
DART-TART,baseline,na,9,Travis_DART-TART_VOT_9-w-audio.mp4
GUARD-CARD,baseline,na,1,Travis_GUARD-CARD_VOT_1-w-audio.mp4
GUARD-CARD,baseline,na,2,Travis_GUARD-CARD_VOT_2-w-audio.mp4
GUARD-CARD,baseline,na,3,Travis_GUARD-CARD_VOT_3-w-audio.mp4
GUARD-CARD,baseline,na,4,Travis_GUARD-CARD_VOT_4-w-audio.mp4
GUARD-CARD,baseline,na,5,Travis_GUARD-CARD_VOT_5-w-audio.mp4
GUARD-CARD,baseline,na,6,Travis_GUARD-CARD_VOT_6-w-audio.mp4
GUARD-CARD,baseline,na,7,Travis_GUARD-CARD_VOT_7-w-audio.mp4
GUARD-CARD,baseline,na,8,Travis_GUARD-CARD_VOT_8-w-audio.mp4
GUARD-CARD,baseline,na,9,Travis_GUARD-CARD_VOT_9-w-audio.mp4
